,No.,Nama Instagram,Komentar,Kategori,Tanggal Posting,Nama Akun IG  Artis/Selebgram,Unnamed: 6,Unnamed: 7,Teks_Bersih,Tokens
332,333,@nrsuciwss2,"""Et muka lu aje gitu dih hahaha. Biarin aja sampah ketemu sampah biar busuk bersama""",Bullying,28 Maret 2020,@eeericko,,,et muka lu dih hahaha biar sampah ketemu sampah biar busuk,"['et', 'muka', 'lu', 'dih', 'hahaha', 'biar', 'sampah', 'ketemu', 'sampah', 'biar', 'busuk']"
333,334,@frdtias_,"""Jijik astagah sok bat cakep njs""",Bullying,28 Maret 2020,@eeericko,,,jijik astagah sok cakep njs,"['jijik', 'astagah', 'sok', 'cakep', 'njs']"
334,335,@duba_ng,"""Bully an di ig lebih ngeri daripada di fb ajg gua jadi ngerii! Ajgg",Non-bullying,28 Maret 2020,@eeericko,,,bully an ig ngeri fb ajg ngeri ajg,"['bully', 'an', 'ig', 'ngeri', 'fb', 'ajg', 'ngeri', 'ajg']"
335,336,@arshylaaa,"""udah buriq brengsek pula pantes aja dapet lonte""",Bullying,28 Maret 2020,@eeericko,,,buriq brengsek lonte,"['buriq', 'brengsek', 'lonte']"
336,337,@yasn.a692,"""MUKA KAMPUNG GAYA SOK SOAN KOTA NYET""",Bullying,28 Maret 2020,@eeericko,,,muka kampung gaya sok soan kota monyet,"['muka', 'kampung', 'gaya', 'sok', 'soan', 'kota', 'monyet']"
337,338,@gudlukinhmn,"""Ngapa lidah Lo stroke amin deh kalau gtu""",Bullying,28 Maret 2020,@eeericko,,,ngapa lidah lo stroke amin deh,"['ngapa', 'lidah', 'lo', 'stroke', 'amin', 'deh']"
338,339,@gudlukinhmn,"""Ciah dihujat 1 Indonesia jangan sampe bunuh diri ya komtoll kami blom puas nguat kauuu""",Bullying,28 Maret 2020,@eeericko,,,ciah hujat indonesia bunuh komtol puas nguat,"['ciah', 'hujat', 'indonesia', 'bunuh', 'komtol', 'puas', 'nguat']"
339,340,@ms.rquell,"""Org kampung otak dusun gaya sosoan hype. Ttep aja gabisa nutupin muka babu lu.""",Bullying,28 Maret 2020,@eeericko,,,orang kampung otak dusun gaya sosoan hype enggak tutup muka babu lu,"['orang', 'kampung', 'otak', 'dusun', 'gaya', 'sosoan', 'hype', 'enggak', 'tutup', 'muka', 'babu', 'lu']"
340,341,@fatimahhss1128,"""Cowo foto liatin lidah nya jam ah jijik gue. Apa lagi minus akhlak kek gini""",Bullying,28 Maret 2020,@eeericko,,,cowok foto lihat lidah jam ah jijik minus akhlak kayak,"['cowok', 'foto', 'lihat', 'lidah', 'jam', 'ah', 'jijik', 'minus', 'akhlak', 'kayak']"
341,342,@noverinaparticia10,"""ANJING gue jg ogah liat muke lu""",Bullying,28 Maret 2020,@eeericko,,,anjing ogah lihat muka lu,"['anjing', 'ogah', 'lihat', 'muka', 'lu']"
342,343,@azzahrariyaanni,"""G bole melet dosaa rik""",Non-bullying,28 Maret 2020,@eeericko,,,enggak melet dosa rik,"['enggak', 'melet', 'dosa', 'rik']"
343,344,@mel.echan,"""paan melet melet mau jilat tai tabi?""",Bullying,28 Maret 2020,@eeericko,,,paan melet melet jilat tahi tabi,"['paan', 'melet', 'melet', 'jilat', 'tahi', 'tabi']"
344,345,@nikhtavani,"""Setan emg melet2 teross jijik asuuu""",Bullying,28 Maret 2020,@eeericko,,,setan melet ros jijik asu,"['setan', 'melet', 'ros', 'jijik', 'asu']"
345,346,@anggi.bharuddin,"""ni anak lahir krna kondom bocor.. ga ada rasa syukur muka kyk selangkangan gorilla dpt cewe cntik kyk jessica setia dll malah di sia2in bgsad""",Bullying,28 Maret 2020,@eeericko,,,nih anak lahir kondom bocor enggak syukur muka kayak selangkang gorilla cewek cantik kayak jessica setia sia bgsad,"['nih', 'anak', 'lahir', 'kondom', 'bocor', 'enggak', 'syukur', 'muka', 'kayak', 'selangkang', 'gorilla', 'cewek', 'cantik', 'kayak', 'jessica', 'setia', 'sia', 'bgsad']"
346,347,@sns_sub,"""Apaan si melet2 sok ganteng""",Bullying,28 Maret 2020,@eeericko,,,melet sok ganteng,"['melet', 'sok', 'ganteng']"
347,348,@lilianaameera,"""Muka kek slangkangan biawak aje bnyk blagu lu""",Bullying,28 Maret 2020,@eeericko,,,muka kayak slangkangan biawak blagu lu,"['muka', 'kayak', 'slangkangan', 'biawak', 'blagu', 'lu']"
348,349,@yustinushw,"""Sumpah sih jahat banget. Bener2 kasian sama kak jessica""",Non-bullying,28 Maret 2020,@eeericko,,,sumpah jahat kasihan kak jessica,"['sumpah', 'jahat', 'kasihan', 'kak', 'jessica']"
349,350,@wibimaulana7,"""Anjing gk pantes sama bidadari.""",Bullying,28 Maret 2020,@eeericko,,,anjing enggak bidadari,"['anjing', 'enggak', 'bidadari']"
350,351,@olivesiahaan_,"""MELET MULU SETAN KAYA ULAR""",Bullying,28 Maret 2020,@eeericko,,,melet mulu setan kayak ular,"['melet', 'mulu', 'setan', 'kayak', 'ular']"
351,352,@joxaeline,"""Njr melet melet gw kirain hewan""",Bullying,28 Maret 2020,@eeericko,,,njr melet melet hewan,"['njr', 'melet', 'melet', 'hewan']"
352,353,@aaurellp,"""Gtu aj dh kek anjg lo kang""",Bullying,28 Maret 2020,@eeericko,,,dah kayak anjg lo kang,"['dah', 'kayak', 'anjg', 'lo', 'kang']"
353,354,@charlespontoh75,"""Gw kesini pengen liat babang ini.. Sumpah feeling gw bener.. Mirip banget ama Reynhard Sinaga""",Non-bullying,28 Maret 2020,@eeericko,,,kesini pengin lihat babang sumpah feeling reynhard sinaga,"['kesini', 'pengin', 'lihat', 'babang', 'sumpah', 'feeling', 'reynhard', 'sinaga']"
354,355,@hadafajri,"""Ih ko melet2 si kaya hewan aja wkwkwkwk""",Bullying,28 Maret 2020,@eeericko,,,ih melet kayak hewan wkwkwkwk,"['ih', 'melet', 'kayak', 'hewan', 'wkwkwkwk']"
355,356,@chellolix,"""Iuu milih iblis drpd bidadarii kwkwkw jyjyq""",Bullying,28 Maret 2020,@eeericko,,,pilih iblis bidadari kwkwkw jyjyq,"['pilih', 'iblis', 'bidadari', 'kwkwkw', 'jyjyq']"
356,357,@_sugarr_babyy,"""MELET2 UDAH KAYA ANJING, EH KAN EMAH ANJING""",Bullying,28 Maret 2020,@eeericko,,,melet kayak anjing eh emah anjing,"['melet', 'kayak', 'anjing', 'eh', 'emah', 'anjing']"
357,358,@beejr1425,"""ga nyadar aja nih sampah HAHA""",Bullying,28 Maret 2020,@eeericko,,,enggak sadar nih sampah haha,"['enggak', 'sadar', 'nih', 'sampah', 'haha']"
358,359,@chindyylls,"""Lidah banyak kuman and virus nih""",Bullying,28 Maret 2020,@eeericko,,,lidah kuman and virus nih,"['lidah', 'kuman', 'and', 'virus', 'nih']"
359,360,@arga_kncn,"""Awalnya ngira baju endorse dari KFC, mirip '-'""",Non-bullying,7 April 2020,@eeericko,,,ngira baju endorse kfc,"['ngira', 'baju', 'endorse', 'kfc']"
360,361,@mas_eng37,"""GUA MAU LO TERUS BERKARYA , PERBAIKI, TINGGALKAN YG NEGATIF , TIDAK ADA KATA TERLAMBAT , TTP JADI ORANG YG HEBAT DAN SELALU BAHAGIA @xrickolim""",Non-bullying,7 April 2020,@eeericko,,,lo karya baik tinggal negatif lambat orang hebat bahagia,"['lo', 'karya', 'baik', 'tinggal', 'negatif', 'lambat', 'orang', 'hebat', 'bahagia']"
361,362,@mhmd.rfly24,"""Cita cita ingin jadi pakboi , eh tapi malah jadi narkoboy nasib-nasib""",Bullying,7 April 2020,@eeericko,,,cita cita pakboi eh narkoboy nasib nasib,"['cita', 'cita', 'pakboi', 'eh', 'narkoboy', 'nasib', 'nasib']"
362,363,@onelsrjy,"""Napa lu balik dari penjara sih?""",Bullying,7 April 2020,@eeericko,,,lu penjara,"['lu', 'penjara']"
363,364,@tinox___xx,"""Mending lu pada tobat dah""",Non-bullying,7 April 2020,@eeericko,,,mending lu tobat deh,"['mending', 'lu', 'tobat', 'deh']"
364,365,@regitaaeh,"""selama dipenjara apalo sikat gigi? KOK BAU YA, BAUBAU AROMA BANGSATTTT""",Bullying,7 April 2020,@eeericko,,,penjara apalo sikat gigi bau baubau aroma bangsat,"['penjara', 'apalo', 'sikat', 'gigi', 'bau', 'baubau', 'aroma', 'bangsat']"
365,366,@vallz_12,"""Gigi lo ada apanya? Jigong? Atau kondom nya nyangkut?""",Bullying,7 April 2020,@eeericko,,,gigi lo jigong kondom nyangkut,"['gigi', 'lo', 'jigong', 'kondom', 'nyangkut']"
366,367,@cxxrloo,"""ih mukanya kek anjing rumah gwa""",Bullying,7 April 2020,@eeericko,,,ih muka kayak anjing rumah gwa,"['ih', 'muka', 'kayak', 'anjing', 'rumah', 'gwa']"
367,368,@pufftlm,"""woi anak anjing ngapain lu hidup bgst""",Bullying,7 April 2020,@eeericko,,,woi anak anjing kapai lu hidup bgst,"['woi', 'anak', 'anjing', 'kapai', 'lu', 'hidup', 'bgst']"
368,369,@ppendjol,"""Udah jelek gak usah d jelek2 in lagi bro""",Bullying,7 April 2020,@eeericko,,,jelek enggak jelek bro,"['jelek', 'enggak', 'jelek', 'bro']"
369,370,@dian_pramana24,"""Ganteng kagak berbakat juga kagak kelebihannya dimana cobak?""",Bullying,7 April 2020,@eeericko,,,ganteng kagak bakat kagak lebih coba,"['ganteng', 'kagak', 'bakat', 'kagak', 'lebih', 'coba']"
370,371,@ayumeiaa,"""Benci aja Ama orang jelek pake selingkuh segala""",Bullying,7 April 2020,@eeericko,,,benci orang jelek pakai selingkuh,"['benci', 'orang', 'jelek', 'pakai', 'selingkuh']"
371,372,@cal1s_,"""Udah tutup mulut nya bau kambing""",Bullying,7 April 2020,@eeericko,,,tutup mulut bau kambing,"['tutup', 'mulut', 'bau', 'kambing']"
372,373,@bram_reza,"""Jualan jualan knp ngga jadi yutuber lagi bro takut ngga ada yg nntn yah""",Bullying,7 Mei 2020,@eeericko,,,jual jual enggak yutuber bro takut enggak tonton,"['jual', 'jual', 'enggak', 'yutuber', 'bro', 'takut', 'enggak', 'tonton']"
373,374,@brandyy_26___,"""Kayak Randy Pangalila klo gk pake kacamata""",Non-bullying,7 Mei 2020,@eeericko,,,kayak randy pangalila kalo enggak pakai kacamata,"['kayak', 'randy', 'pangalila', 'kalo', 'enggak', 'pakai', 'kacamata']"
374,375,@farhaadeliasiregar,"""Entah knp liat muka BG Eric sekarang kaya enak gitu .. dari pada yg dulu""",Non-bullying,7 Mei 2020,@eeericko,,,lihat muka bang eric kayak enak,"['lihat', 'muka', 'bang', 'eric', 'kayak', 'enak']"
375,376,@amv.seninjashu,"""Apa ganteng nyasih anjing.. Kucel gini jadiin model""",Bullying,7 Mei 2020,@eeericko,,,ganteng nyasih anjing kucel jadi model,"['ganteng', 'nyasih', 'anjing', 'kucel', 'jadi', 'model']"
376,377,@cxxrloo,"""keknya dia ngeliat masa depan yang hancur deh""",Bullying,7 Mei 2020,@eeericko,,,kayak hancur deh,"['kayak', 'hancur', 'deh']"
377,378,@fhrntsy,"""INGETT HIDUP LO DULU GA SEENAK INI RIKKK. HIDUP LO SUSAH!!!! SALAM TEMEN SMP PAS LO BURIKKK. EH SKRG SAMA AJA""",Bullying,7 Mei 2020,@eeericko,,,hidup lo enggak enak rik hidup lo susah salam teman lo burik eh,"['hidup', 'lo', 'enggak', 'enak', 'rik', 'hidup', 'lo', 'susah', 'salam', 'teman', 'lo', 'burik', 'eh']"
378,379,@benie_dermawan,"""Yaaaa yaaa kalo liat muka nya sumpah ngeselin banget dah.oprasi dulu sono..biar gantengan dikit.. Dan kalo jln ke mall gk di kenal orng.""",Bullying,7 Mei 2020,@eeericko,,,kalo lihat muka sumpah kesal deh operasi sono biar ganteng dikit kalo jalan mal enggak kenal orang,"['kalo', 'lihat', 'muka', 'sumpah', 'kesal', 'deh', 'operasi', 'sono', 'biar', 'ganteng', 'dikit', 'kalo', 'jalan', 'mal', 'enggak', 'kenal', 'orang']"
379,380,@aralinaphee,"""dia ini siapa sih??? Artis bukan, jelek mah iya mukanya iyuhhh""",Bullying,7 Mei 2020,@eeericko,,,artis jelek muka ih,"['artis', 'jelek', 'muka', 'ih']"
380,381,@asbdidjdk,"""Ini bukan era lo lagi, mending lo mati aja babi. Kalo baca bales nyet""",Bullying,7 Mei 2020,@eeericko,,,era lo mending lo mati babi kalo baca balas monyet,"['era', 'lo', 'mending', 'lo', 'mati', 'babi', 'kalo', 'baca', 'balas', 'monyet']"
381,382,@rksalfiansyah_,"""Saya segenap hati minta maap""",Non-bullying,7 Mei 2020,@eeericko,,,segenap hati maaf,"['segenap', 'hati', 'maaf']"
382,383,@aardyyyy,"""Dulu Bahagia Sekarang Banyak Utang""",Bullying,2 Juni 2020,@eeericko,,,bahagia utang,"['bahagia', 'utang']"
383,384,@holiaulabenn,"""Harus lebih maju berkelas rik!! Ga jamannya lg toxic dan ga beraturan.. build sistem!! You will be BIG""",Non-bullying,2 Juni 2020,@eeericko,,,maju kelas rik enggak jaman toxic enggak atur build sistem you wil be big,"['maju', 'kelas', 'rik', 'enggak', 'jaman', 'toxic', 'enggak', 'atur', 'build', 'sistem', 'you', 'wil', 'be', 'big']"
384,385,@ramadhanap__,"""editan sama konsepnya nice banget lahhh""",Non-bullying,2 Juni 2020,@eeericko,,,edit konsep nice,"['edit', 'konsep', 'nice']"
385,386,@mchll.ra,"""iri kok sama babi hahah najis""",Bullying,2 Juni 2020,@eeericko,,,iri babi hahah najis,"['iri', 'babi', 'hahah', 'najis']"
386,387,@rulyysetiawan87,"""LO YANG DULU BUKANLAH YANG SEKARANG DULU KAYA ANJING SEKARANG KAYA BABI""",Bullying,2 Juni 2020,@eeericko,,,lo kayak anjing kayak babi,"['lo', 'kayak', 'anjing', 'kayak', 'babi']"
387,388,@gadiiiiisssss,"""Jelek aja tukang selingkuh lo buriq !""",Bullying,2 Juni 2020,@eeericko,,,jelek tukang selingkuh lo buriq,"['jelek', 'tukang', 'selingkuh', 'lo', 'buriq']"
388,389,@nikitadmynti.s,"""kok kalian komennya pada kek gini ya""",Non-bullying,2 Juni 2020,@eeericko,,,komennya kayak,"['komennya', 'kayak']"
389,390,@keyzha.anindia,"""Rick lu tuh jadi manusia kek gk ada gunanya lu dilahirin kedunia untuk berbuat baik, sayang nya lu ngecewain org lain gimana mo masuk surga""",Bullying,2 Juni 2020,@eeericko,,,rick lu tuh manusia kayak enggak guna lu dilahirin dunia buat sayang lu ngecewain orang masuk surga,"['rick', 'lu', 'tuh', 'manusia', 'kayak', 'enggak', 'guna', 'lu', 'dilahirin', 'dunia', 'buat', 'sayang', 'lu', 'ngecewain', 'orang', 'masuk', 'surga']"
390,391,@naufal_fadillah.20,"""Kalian kaloga cocok mau di paksain?""",Non-bullying,2 Juni 2020,@eeericko,,,kaloga cocok paksa,"['kaloga', 'cocok', 'paksa']"
391,392,@gideonadi.1st,"""ya biarin @xrickolim kita gatau gimana aslinya masa kalian semua ambil keputusan sepihak?kalo udah takdir gaada yang bisa nentang njir""",Non-bullying,2 Juni 2020,@eeericko,,,biar enggak tau asli ambil putus kalo takdir enggak nentang anjir,"['biar', 'enggak', 'tau', 'asli', 'ambil', 'putus', 'kalo', 'takdir', 'enggak', 'nentang', 'anjir']"
392,393,@afrianyriz_,"""Cocok kok, emang orang baik mah buat org baik, kalo yg bejat mah emang cocok buat yang bejat juga ehehe""",Bullying,2 Juni 2020,@eeericko,,,cocok orang orang kalo bejat cocok bejat ehehe,"['cocok', 'orang', 'orang', 'kalo', 'bejat', 'cocok', 'bejat', 'ehehe']"
393,394,@rzqimuln__,"""ERICK GOBLOK,MALAH PACARAN AMA LONTE ANJ,SO BAT""",Bullying,2 Juni 2020,@eeericko,,,erick goblok pacar lonte anjing sok,"['erick', 'goblok', 'pacar', 'lonte', 'anjing', 'sok']"
394,395,@annisachaan_,"""Cocok banget sama2 orang gak bener biar lah dia hancur bersama""",Bullying,2 Juni 2020,@eeericko,,,cocok orang enggak biar hancur,"['cocok', 'orang', 'enggak', 'biar', 'hancur']"
395,396,@xrygirlz,"""EH KEK ADA PENAMPAKAN LONTE""",Bullying,2 Juni 2020,@eeericko,,,eh kayak tampak lonte,"['eh', 'kayak', 'tampak', 'lonte']"
396,397,@mhmmdfarrel21_,"""Meninggalkan berlian demi Tai Sapi""",Bullying,2 Juni 2020,@eeericko,,,tinggal berlian tahi sapi,"['tinggal', 'berlian', 'tahi', 'sapi']"
397,398,@rzkychdra_,"""Ini bukan era lo lgi, wkwkw skrng lo penuh dengan cacimaki, telen ludah sendiri""",Bullying,2 Juni 2020,@eeericko,,,era lo wkwkw lo penuh cacimaki telen ludah,"['era', 'lo', 'wkwkw', 'lo', 'penuh', 'cacimaki', 'telen', 'ludah']"
398,399,@fanzz14_,"""Pantes disini mulainya si ajg berulah""",Bullying,2 Juni 2020,@eeericko,,,mulai ajg ulah,"['mulai', 'ajg', 'ulah']"
399,400,@gritlechan02,"""Open BO ga bang si listy? Kebetulan ada om-om yg nyari cwe yg udah pengalaman!!!!""",Bullying,2 Juni 2020,@eeericko,,,open bo enggak bang listy om om cari cewek alam,"['open', 'bo', 'enggak', 'bang', 'listy', 'om', 'om', 'cari', 'cewek', 'alam']"
400,401,@_leean3,"""Buah nangka buah kemanggi gak ada akhlak lu babi""",Bullying,2 Juni 2020,@eeericko,,,buah nangka buah kemanggi enggak akhlak lu babi,"['buah', 'nangka', 'buah', 'kemanggi', 'enggak', 'akhlak', 'lu', 'babi']"
401,402,@kntl0_0,"""Perlahan karirmu ancur bro dan lu akan kembali kebawan""",Bullying,2 Juni 2020,@eeericko,,,perlahan karirmu hancur bro lu kebawan,"['perlahan', 'karirmu', 'hancur', 'bro', 'lu', 'kebawan']"
402,403,@kristin26_,"""Biarkan @sk69official bangkrut aja. CEO nya gatau trimakasih haha""",Bullying,2 Juni 2020,@eeericko,,,biar bangkrut ceo enggak tau trimakasih haha,"['biar', 'bangkrut', 'ceo', 'enggak', 'tau', 'trimakasih', 'haha']"
403,404,@dadidawww__,"""ngapain juga nginap di rumah cowo, gaada keluarga lg lo?""",Bullying,2 Juni 2020,@eeericko,,,kapai nginap rumah cowok enggak keluarga lo,"['kapai', 'nginap', 'rumah', 'cowok', 'enggak', 'keluarga', 'lo']"
404,405,@dhifi_3,"""Eh ada pelakor, pas banget frame ke tiga, orang ke 3""",Bullying,2 Juni 2020,@eeericko,,,eh pelakor frame orang,"['eh', 'pelakor', 'frame', 'orang']"
405,406,@xdebyy23,"""Anak gblk dikasi berlian malah milih kerikil""",Bullying,2 Juni 2020,@eeericko,,,anak gblk kasi berlian pilih kerikil,"['anak', 'gblk', 'kasi', 'berlian', 'pilih', 'kerikil']"
406,407,@ldydna_,"""Dikasih bidadari malah milih dajjal awokawok:v""",Bullying,2 Juni 2020,@eeericko,,,kasih bidadari pilih dajjal awokawok v,"['kasih', 'bidadari', 'pilih', 'dajjal', 'awokawok', 'v']"
407,408,@teamlistychan,"""Jangan cuman bisa ngehina Dong Sadar Kalian Itu Ga sempurna sama kaya kami""",Non-bullying,2 Juni 2020,@eeericko,,,cuman hina sadar enggak sempurna kayak,"['cuman', 'hina', 'sadar', 'enggak', 'sempurna', 'kayak']"
408,409,@ndysan,"""Kesihan gue sama org otak dangkal kek gini""",Bullying,2 Juni 2020,@eeericko,,,sih orang otak dangkal kayak,"['sih', 'orang', 'otak', 'dangkal', 'kayak']"
409,410,@_nanellchaan,"""Murahh banget lo jijik gue . Dikick EVOS mlah open BO""",Bullying,2 Juni 2020,@eeericko,,,murah lo jijik dikick evos open bo,"['murah', 'lo', 'jijik', 'dikick', 'evos', 'open', 'bo']"
410,411,@hfizdonjuan,"""senengnya sekali nyesel nya seumur hidup, miris banget hidup lu tolol meninggalkan berlian yang indah dipandang dan di sayang demi segumpal tai kucing""",Bullying,2 Juni 2020,@eeericko,,,neng sesal umur hidup miris hidup lu tolol tinggal berlian indah pandang sayang gumpal tahi kucing,"['neng', 'sesal', 'umur', 'hidup', 'miris', 'hidup', 'lu', 'tolol', 'tinggal', 'berlian', 'indah', 'pandang', 'sayang', 'gumpal', 'tahi', 'kucing']"
411,412,@callmehanif_,"""Indahnya pemandangan banyak LonT lonT mau di jual""",Bullying,2 Juni 2020,@eeericko,,,indah pandang lont lont jual,"['indah', 'pandang', 'lont', 'lont', 'jual']"
412,413,@jeihanfatiya,"""bidadari sudah ditunjukan , bahwa mmg g pantes sma dajjal g tau diri""",Bullying,2 Juni 2020,@eeericko,,,bidadari tunjuk enggak dajjal enggak tau,"['bidadari', 'tunjuk', 'enggak', 'dajjal', 'enggak', 'tau']"
413,414,@christimrbn._,"""siapapun tolong kasih tau aku ini masalah nya apaa gais""",Non-bullying,2 Juni 2020,@eeericko,,,tolong kasih tau gais,"['tolong', 'kasih', 'tau', 'gais']"
414,415,@mylndll_,"""dikasih hati yg malaikat milih yg berhati iblis greget:(""",Bullying,2 Juni 2020,@eeericko,,,kasih hati malaikat pilih hati iblis greget,"['kasih', 'hati', 'malaikat', 'pilih', 'hati', 'iblis', 'greget']"
415,416,@hvo.id,"""Di kasih bidadari malah pilih kotoran""",Bullying,2 Juni 2020,@eeericko,,,kasih bidadari pilih kotor,"['kasih', 'bidadari', 'pilih', 'kotor']"
416,417,@owengbrl,"""Dikasih bidadari malah minta lonte""",Bullying,2 Juni 2020,@eeericko,,,kasih bidadari lonte,"['kasih', 'bidadari', 'lonte']"
417,418,@apaaja3181,"""Gajadi beli Model murahan barang pasti murahan""",Bullying,2 Juni 2020,@eeericko,,,gajadi beli model murah barang murah,"['gajadi', 'beli', 'model', 'murah', 'barang', 'murah']"
418,419,@idoyalam,"""Modelny aja murahan apalagi barangnya""",Bullying,2 Juni 2020,@eeericko,,,modelny murah barang,"['modelny', 'murah', 'barang']"
419,420,@enaknyaja,"""muka macem pengamen gegayaan selingkuh, untung udh ga sm jane lg, kebanting sm jane muke lu""",Bullying,2 Juni 2020,@eeericko,,,muka amen gegayaan selingkuh untung enggak jane banting jane muka lu,"['muka', 'amen', 'gegayaan', 'selingkuh', 'untung', 'enggak', 'jane', 'banting', 'jane', 'muka', 'lu']"
420,421,@pebriiidhyn,"""Males beli gua,gara gara ada lonte""",Bullying,2 Juni 2020,@eeericko,,,malas beli gara gara lonte,"['malas', 'beli', 'gara', 'gara', 'lonte']"
421,422,@aldiazz_mp,"""Padahal bulug gini ya mukanya.. ehh,, maaf..""",Bullying,2 Juni 2020,@eeericko,,,bulug muka eh maaf,"['bulug', 'muka', 'eh', 'maaf']"
422,423,@zhrmldiaa_,"""Padahal cantikan jessica kemana mana""",Non-bullying,2 Juni 2020,@eeericko,,,cantik jessica mana,"['cantik', 'jessica', 'mana']"
423,424,@ashha._,"""Dikasih bidadari malah milih sampah""",Bullying,2 Juni 2020,@eeericko,,,kasih bidadari pilih sampah,"['kasih', 'bidadari', 'pilih', 'sampah']"
424,425,@inxxzrbc,"""yaelah muka pas""an aja bangga lu njing""",Bullying,2 Juni 2020,@eeericko,,,yaelah muka an bangga lu njing,"['yaelah', 'muka', 'an', 'bangga', 'lu', 'njing']"
425,426,@bubblecndyy,"""Wah ibarat lebih milih iblis daripada bidadari haha""",Bullying,2 Juni 2020,@eeericko,,,pilih iblis bidadari haha,"['pilih', 'iblis', 'bidadari', 'haha']"
426,427,@ohh_alah,"""@rangga_kanahaya knp gk truck sampah, kek mukanya sampah""",Bullying,2 Juni 2020,@eeericko,,,enggak truck sampah kayak muka sampah,"['enggak', 'truck', 'sampah', 'kayak', 'muka', 'sampah']"
427,428,@cep.juned,"""Gajadi beli, takut ketularan lonte nya""",Bullying,2 Juni 2020,@eeericko,,,gajadi beli takut tular lonte,"['gajadi', 'beli', 'takut', 'tular', 'lonte']"
428,429,@abigailfrnt,"""hanya bisa melihat hujatan klean kasian si listy kontrak nya d copot , di hujat memang dunia sgt kejam""",Non-bullying,2 Juni 2020,@eeericko,,,hujat klean kasihan listy kontrak copot hujat dunia kejam,"['hujat', 'klean', 'kasihan', 'listy', 'kontrak', 'copot', 'hujat', 'dunia', 'kejam']"
429,430,@ken_prohd,"""Jangan beli baju lonte entar kena sial""",Bullying,2 Juni 2020,@eeericko,,,beli baju lonte entar kena sial,"['beli', 'baju', 'lonte', 'entar', 'kena', 'sial']"
430,431,@kecoakgemoi._,"""Dasar cewe lo itu LONTE tau kau!""",Bullying,2 Juni 2020,@eeericko,,,dasar cewek lo lonte tau,"['dasar', 'cewek', 'lo', 'lonte', 'tau']"
431,432,@levinanj,"""Disini pada kenapa dah? Aku gapaham tolong""",Non-bullying,2 Juni 2020,@eeericko,,,deh gapaham tolong,"['deh', 'gapaham', 'tolong']"
432,433,@angelicaangel______,"""Itu ditengah manusia apa monyet kok kulitnya bercorak batik""",Bullying,2 Juni 2020,@eeericko,,,tengah manusia monyet kulit corak batik,"['tengah', 'manusia', 'monyet', 'kulit', 'corak', 'batik']"
433,434,@aditmg04,"""Muka lu sama anjing gwe..lebih ganteng anjing gwe rik""",Bullying,2 Juni 2020,@eeericko,,,muka lu anjing gwe ganteng anjing gwe rik,"['muka', 'lu', 'anjing', 'gwe', 'ganteng', 'anjing', 'gwe', 'rik']"
434,435,@fad_wolfie,"""Buat kalian para pens lonte jgn tkut listi Miskin krna dipecat, krna dia bsa kaya lgi, dgn cara ya nglonte""",Bullying,2 Juni 2020,@eeericko,,,pens lonte takut listi miskin pecat kayak nglonte,"['pens', 'lonte', 'takut', 'listi', 'miskin', 'pecat', 'kayak', 'nglonte']"
435,436,@elirahma7,"""Etdah ninggalin yang baik demi lonte, situ waras mas wkwk""",Bullying,2 Juni 2020,@eeericko,,,etdah tinggal lonte waras wkwk,"['etdah', 'tinggal', 'lonte', 'waras', 'wkwk']"
436,437,@annafrrozen,"""Gw melihat cewek murahan di postingan ini""",Bullying,2 Juni 2020,@eeericko,,,cewek murah postingan,"['cewek', 'murah', 'postingan']"
437,438,@xrnggaty__27,"""yang kedua dari sebelah kanan itu batik apa orang dah? kok warna nya kek taek babi si?""",Bullying,2 Juni 2020,@eeericko,,,belah kanan batik orang deh warna kayak tahi babi,"['belah', 'kanan', 'batik', 'orang', 'deh', 'warna', 'kayak', 'tahi', 'babi']"
438,439,@rahmahakya,"""Ih ko muka jelek banget siii serem kek setan""",Bullying,2 Juni 2020,@eeericko,,,ih muka jelek seram kayak setan,"['ih', 'muka', 'jelek', 'seram', 'kayak', 'setan']"
439,440,@dzlsmnaa,"""Itu yang foto ketiga jablay murahan bukan?""",Bullying,2 Juni 2020,@eeericko,,,foto tiga jablay murah,"['foto', 'tiga', 'jablay', 'murah']"
440,441,@gadiiiiisssss,"""Jelek aja tukang selingkuh lo buriq !!!!""",Bullying,2 Juni 2020,@eeericko,,,jelek tukang selingkuh lo buriq,"['jelek', 'tukang', 'selingkuh', 'lo', 'buriq']"
441,442,@mvq024,"""Emang kalian se suci apa sampai nghina dia segitu nya""",Non-bullying,2 Juni 2020,@eeericko,,,suci nghina,"['suci', 'nghina']"
442,443,@yudiansyah_anggara,"""Mending yang follow pada unfollow Udeh gausah ribet""",Non-bullying,2 Juni 2020,@eeericko,,,mending follow unfollow enggak ribet,"['mending', 'follow', 'unfollow', 'enggak', 'ribet']"
443,444,@ravi18dihan_,"""Dekil tatoan, mampus karir Lo hancurr pantek""",Bullying,2 Juni 2020,@eeericko,,,dekil tato mampus karir lo hancur pantek,"['dekil', 'tato', 'mampus', 'karir', 'lo', 'hancur', 'pantek']"
444,445,@hikmahauliasari_01,"""Udah ada berlian malah milih batu nisan""",Bullying,2 Juni 2020,@eeericko,,,berlian pilih batu nisan,"['berlian', 'pilih', 'batu', 'nisan']"
